class_,reason,reservoir,station,provider,state,nhd_answer,esri_answer,reviewer_ruling,notes
disputed,silent on both,Oroville Dam,ORO,California Data Exchange Center,CA,(none),(none),,Lake Oroville
disputed,silent on both,New Melones Lake,10843,Bureau of Reclamation RISE,CA,(none),(none),,New Melones Lake
disputed,silent on both,Lake Almanor,ALM,California Data Exchange Center,CA,(none),(none),,Lake Almanor
disputed,sources disagree,Blue Mesa Reservoir,09009010:CO:BOR,USDA NRCS AWDB,CO,Morrow Point Reservoir; Blue Mesa Reservoir,(unnamed); (unnamed); (unnamed),nhd,Blue Mesa Reservoir
disputed,silent on both,Folsom Lake,10774,Bureau of Reclamation RISE,CA,(none),(none),unsure,this might be two separate dams
disputed,silent on both,"Lake San Antonio, Monterey Co",ATN,California Data Exchange Center,CA,(none),(none),,San Antonio Lake
disputed,silent on both,Castaic,CAS,California Data Exchange Center,CA,(none),(none),,Castaic Lake
disputed,silent on both,Cherry Valley Dam,CHV,California Data Exchange Center,CA,(none),(none),,Cherry Lake
disputed,silent on both,Casitas,CSI,California Data Exchange Center,CA,(none),(none),,Lake Casitas
disputed,silent on both,Whiskeytown Lake,10827,Bureau of Reclamation RISE,CA,(none),(none),,Whiskeytown Lake
disputed,silent on both,Pardee,PAR,California Data Exchange Center,CA,(none),(none),,Pardee Reservoir
disputed,silent on both,Lake Crowley,CRW,California Data Exchange Center,CA,(none),(none),,point is wrong
disputed,silent on both,Los Vaqueros Reservoir,LVQ,California Data Exchange Center,CA,(none),(none),,point is slightly off
disputed,silent on both,Seven Oaks Dam,SVO,California Data Exchange Center,CA,(none),(none),point,Seven Oaks Reservoir
disputed,silent on both,Black Butte,BLB,California Data Exchange Center,CA,(none),(none),,Black Butte Lake
disputed,silent on both,Courtright (Pg&E),CTG,California Data Exchange Center,CA,(none),(none),,Courtright Reservoir
disputed,silent on both,Coyote (Lake Mendocino),COY,California Data Exchange Center,CA,(none),(none),,Lake Mendocino
disputed,silent on both,Hidden Dam (Hensley),HID,California Data Exchange Center,CA,(none),(none),,Hensley Lake
