state,usgs_site_no,usgs_site_name,latitude,longitude,class_,nearest_published_reservoir,distance_km,shared_name_words,reviewer_ruling,notes
AZ,09384600,"LYMAN LAKE NEAR ST. JOHNS, AZ",34.37448424,-109.3848182,candidate-duplicate,Lyman Reservoir,0.0,lyman,duplicate,
AZ,09398300,"CRAGIN DAM RESERVOIR NEAR PINE, AZ (BLUE RIDGE)",34.555278,-111.183333,candidate-duplicate,Cragin Dam Reservoir,0.06,cragin,duplicate,
AZ,09422500,"LAKE MOHAVE AT DAVIS DAM, AZ-NV",35.1963472,-114.5702028,candidate-duplicate,Lake Mohave,0.3,mohave,duplicate,
AZ,09469000,"SAN CARLOS RESERVOIR AT COOLIDGE DAM, AZ",33.1753361,-110.5280194,candidate-duplicate,San Carlos Reservoir,0.03,carlos/san,duplicate,
AZ,09509501,"HORSESHOE RESERVOIR AT HORSESHOE DAM, AZ",33.98477418,-111.71043918,new,Cragin Dam Reservoir,79.78,,add,
AZ,09509502,"BARTLETT RESERVOIR AT BARTLETT DAM, AZ",33.8180973,-111.6318055,new,Cragin Dam Reservoir,91.74,,add,
NV,10288500,"WALKER LAKE NR HAWTHORNE, NV",38.67658636,-118.7720849,new,Bridgeport Reservoir,54.73,,add,
NV,10297000,"TOPAZ LAKE NR TOPAZ, CA",38.6932333,-119.5203083,new,Caples Lake (Eid),45.82,,add,
NV,10301700,"WEBER RES NR SCHURZ, NV",39.04464245,-118.8601474,new,Lahontan Reservoir,49.77,,add,
NV,10312100,"LAHONTAN RES NR FALLON, NV",39.46241539,-119.067661,candidate-duplicate,Lahontan Reservoir,0.0,lahontan,duplicate,
NV,10334500,"RYE PATCH RES NR RYE PATCH, NV",40.471611,-118.308167,candidate-duplicate,"Rye Patch Re nr Rye Patch, NV",0.16,patch/rye,duplicate,
NV,10336710,"MARLETTE LAKE NR CARSON CITY, NV",39.172975,-119.905511,candidate-duplicate,Marlette Lk nr Carson City,0.0,carson/city/marlette,duplicate,
NV,10348800,"LITTLE WASHOE LAKE NR STEAMBOAT, NV",39.329806,-119.801861,new,Marlette Lk nr Carson City,19.59,,add,
NV,13174000,"WILD HORSE RES NR GOLD CR, NV",41.6874054,-115.8445289,candidate-duplicate,Wild Horse Reservoir,0.04,horse/wild,duplicate,
ID,13081000,LAKE WALCOTT NR MINIDOKA ID,42.670833,-113.483333,candidate-duplicate,Lake Walcott,0.11,walcott,duplicate,
ID,13087900,MILNER LAKE AT MILNER DAM ID,42.52305556,-114.0133333,new,Oakley Reservoir,37.33,,add,
ID,13126000,MACKAY RES NR MACKAY ID,43.95138889,-113.675,candidate-duplicate,Mackay Reservoir,0.0,mackay,duplicate,
OR,14145100,"HILLS CREEK LAKE NEAR OAKRIDGE, OR",43.709575,-122.421111,candidate-duplicate,Hills Creek,0.25,hills,duplicate,
OR,14149000,"LOOKOUT POINT LAKE NEAR LOWELL, OR",43.91515556,-122.7522806,candidate-duplicate,Lookout Point,0.06,lookout/point,duplicate,
OR,14153000,"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",43.7165111,-123.0497992,candidate-duplicate,Cottage Grove,0.12,cottage/grove,duplicate,
OR,14155000,"DORENA LAKE NEAR COTTAGE GROVE, OR",43.78595685,-122.9553524,candidate-duplicate,Dorena,0.14,dorena,duplicate,
OR,14159400,"COUGAR LAKE NEAR RAINBOW, OR",44.1273722,-122.2447444,candidate-duplicate,Cougar,0.16,cougar,duplicate,
OR,14162100,"BLUE RIVER LAKE NEAR BLUE RIVER, OR",44.17254444,-122.3253889,candidate-duplicate,Blue River,0.0,blue,duplicate,
OR,14168000,"FERN RIDGE LAKE NEAR ELMIRA, OR",44.12067879,-123.3012062,candidate-duplicate,Fern Ridge,0.0,fern/ridge,duplicate,
OR,14180500,"DETROIT LAKE NEAR DETROIT, OR",44.7220611,-122.2500583,candidate-duplicate,Detroit,0.04,detroit,duplicate,
OR,14186100,"GREEN PETER LAKE NEAR FOSTER, OR",44.45,-122.549,candidate-duplicate,Green Peter,0.05,green/peter,duplicate,
WA,12035380,"WYNOOCHEE LAKE NEAR GRISDALE, WA",47.3853354,-123.6056981,new,Mayfield,124.86,,add,
WA,12085000,"ALDER RESERVOIR AT ALDER, WA",46.80229439,-122.3114797,new,Mossyrock Dam (Riffe Lk),30.93,,add,
WA,12098000,"MUD MOUNTAIN LAKE NEAR BUCKLEY, WA",47.14065847,-121.9312199,new,Howard Hansen,18.74,,add,
WA,12101000,"LAKE TAPPS NEAR SUMNER, WA",47.24090628,-122.1917637,new,Howard Hansen,30.93,,add,
WA,12105800,"HOWARD A HANSON RESERVOIR NEAR PALMER, WA",47.2770478,-121.7853845,candidate-duplicate,Howard Hansen,0.0,howard,duplicate,
WA,14237800,"MAYFIELD RESERVOIR NEAR SILVER CREEK, WA",46.5034409,-122.5876123,candidate-duplicate,Mayfield,0.0,mayfield,duplicate,
WY,09213700,"BIG SANDY RESERVOIR NEAR FARSON, WY",42.2491188,-109.4292954,candidate-duplicate,Big Sandy,0.06,big/sandy,duplicate,
WY,13010500,"Jackson Lake near Moran, WY",43.857778,-110.590278,candidate-duplicate,Jackson Lake,0.06,jackson,duplicate,
