reservoir,state,provider,lat,lon,reviewer_note,nhd_within_m,nhd_names,gnis_within_m,gnis_names
Oroville Dam,CA,California Data Exchange Center,39.54,-121.493,Lake Oroville,1500,(unnamed); (unnamed); Thermalito Diversion Pool,4000,Sycamore Reservoir [Reservoir]
New Melones Lake,CA,Bureau of Reclamation RISE,37.9481,-120.525,New Melones Lake,500,(unnamed); (unnamed),4000,Vermont Bar [Bar]; Bostick Bar [Bar]
Lake Almanor,CA,California Data Exchange Center,40.218,-121.173,Lake Almanor,150,Lake Almanor,>4000,
Folsom Lake,CA,Bureau of Reclamation RISE,38.683,-121.183,Folsom Lake - point is wrong on lat . long,500,Lake Natoma; (unnamed),500,Negro Bar [Bar]
"Lake San Antonio, Monterey Co",CA,California Data Exchange Center,35.798,-120.883,San Antonio Lake,500,Lake San Antonio,4000,Lake San Antonio [Reservoir]
Castaic,CA,California Data Exchange Center,34.5152,-118.6101,Castaic Lake,500,Castaic Lagoon,>4000,
Cherry Valley Dam,CA,California Data Exchange Center,37.967,-119.917,Cherry Lake,1500,Cherry Lake,>4000,
Casitas,CA,California Data Exchange Center,34.373,-119.332,Lake Casitas,500,(unnamed); Lake Casitas,1500,Dead Horse Canyon Arm [Bay]; Ayers Creek Arm [Bay]
Whiskeytown Lake,CA,Bureau of Reclamation RISE,40.598,-122.537,Whiskeytown Lake,500,Whiskeytown Lake,4000,Paige Bar [Bar]
Pardee,CA,California Data Exchange Center,38.25,-120.85,Pardee Reservoir,500,Camanche Reservoir; Pardee Reservoir,4000,West Portal [Lake]; Oregon Bar [Bar]; North Arm [Bay]
Lake Crowley,CA,California Data Exchange Center,37.604,-118.707,Crowley Lake - incorrect lat / long,1500,Lake Crowley,>4000,
Los Vaqueros Reservoir,CA,California Data Exchange Center,37.838,-121.726,Los Vaqueros Reservoir,500,(unnamed),>4000,
Seven Oaks Dam,CA,California Data Exchange Center,34.1178,-117.0978,Seven Oaks Reservoir,4000,(unnamed); (unnamed); (unnamed),4000,Hot Springs [Spring]; Hot Springs [Spring]
Black Butte,CA,California Data Exchange Center,39.808,-122.329,Black Butte Lake,500,(unnamed),>4000,
Courtright (Pg&E),CA,California Data Exchange Center,37.072,-118.967,Courtright Reservoir,1500,(unnamed); (unnamed); (unnamed),4000,Clear Lake [Lake]
Coyote (Lake Mendocino),CA,California Data Exchange Center,39.197,-123.186,Lake Mendocino,500,Lake Mendocino; (unnamed),500,Russian River Reservoir [Reservoir]
Hidden Dam (Hensley),CA,California Data Exchange Center,37.109559,-119.885255,Hensley Lake,500,Hensley Lake,>4000,
Huntington Lake (Usbr),CA,California Data Exchange Center,37.22757,-119.220482,Huntington Lake,150,Huntington Lake,>4000,
